OBJECTID,FACILITYID,INTID,CREATIONDATE,CREATOR,PROJECTNAME,PROJECTOBJECTID,PROJECTTYPE,ADDRESS,PROJECTSTATUS,LASTUPDATE,NOTES,SHAPE_Length,SHAPE_Area,PARCELSNUM,FILENUM,PROJECTNOTES,CONTACTNAME,CONTACTEMAIL,DEVELOPERNAME,RSNNUMBER,MERGENO,CONTACT,BUILDINGHEIGHT
625,126,126,2021/11/16 09:45:53+00,OED,Hudson Skyport Phase 2,13,Mixed Use,1601 Technology Drive,Planning Approved,2023/05/18 08:45:09+00,,2277.02130096196,215334.334953924,283121,PDC13-041 & PD18-039,"Construction of a nine-story office building and a one-story industrial office building totaling 350,00 sf.",,,Hudson Skyport LLC,1781528,61,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),
626,127,127,2021/11/16 09:45:53+00,OED,Tamien Residential,36,Housing,1197 Lick Avenue,Pre-Construction Review,2023/05/18 08:45:09+00,,2419.77953542727,308108.292420211,1000009188,PDC18-025 & PD20-003,"Construction of up to 569 residential units and up to 3,000 sf of commercial space",,,UrbanCo Tamien LLC,1774774,70,Ruth Cueto (Ruth.Cueto@sanjoseca.gov),
627,128,128,2021/11/16 09:45:53+00,OED,Silvery Towers ,28,Housing,188 West Saint James St,Under Construction,2023/05/18 08:45:09+00,,1248.95243898038,81223.0714920596,"1000021736, 1000013319, 1000021737, 1000013320","H13-041, HA13-041-03","Construction of a two-towered (20- and 22-stories) mixed use building with 643 residential units and 30,228 sqft retail.",,,Z&L Properties,1552914,904,,228
629,130,130,2021/11/16 09:45:53+00,OED,Hotel on DeAnza,34,Hotel,1510 S DeAnza Boulevard,Planning Approved,2023/05/18 08:45:09+00,,761.657207667073,37037.728628148,176289,H19-017,Construction of a 124-room hotel,,,North Star Development Group,1811047,57,Maira Blanco (Maira.Blanco@sanjoseca.gov),
630,131,131,2021/11/16 09:45:53+00,OED,Winchester Ranch,47,Housing,555 South Winchester,Under Construction,2023/05/18 08:45:09+00,PW Review,4390.52800061931,683921.298653692,172052,PDC18-037 & PD19-019,Planned Development Rezoning for up to 687 residential units on a 15.69 gross acre site,,,Pulte Homes,1788102,92,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),
631,132,132,2021/11/16 09:45:53+00,OED,Faculty/Staff Housing & Tech Center,48,Housing,1202 Campbell,Planning Review,2023/05/18 08:45:09+00,,1506.2575447411,135096.913347524,"282574, 282572",GP18-015 & PDC18-038,"Planned Development Rezoning for up to 290 residential units and 26,000 sf commercial office (also PD19-020))",,,Santa Clara University,1788132,21,,
633,134,134,2021/11/16 09:45:53+00,OED,Garden Gate / Scape,40,Housing,600 South 1st Street,Under Construction,2023/05/18 08:45:09+00,,529.209300779663,17454.556419439,"342778, 342777",SPA-18-001-01,"Special Use Permit/Amendment to allow a 252-foot-high mixed-use tower with 4,900 sf ground floor commercial and 336 residential units.",,,KT Urban,1747939,87,Cassandra Van Der Zweep (Cassandra.VanDerZweep@sanjoseca.gov),252
634,135,135,2021/11/16 09:45:53+00,OED,Roosevelt Park Apartments,60,Housing,21 North 21st St,Pre-Construction Review,2023/05/18 08:45:09+00,Building/PW Review,608.165172717351,20956.1721585098,60997,SP17-027,"Construction of an eight-story building with 80 dwelling units and 10,400 sf commercial space",,,First Communities Housing,1720323,84,Cassandra Van Der Zweep (Cassandra.VanDerZweep@sanjoseca.gov),
635,136,136,2021/11/16 09:45:53+00,OED,Jaguar Expansion,8,Commercial,4040 Stevens Creek Boulevard,Pre-Construction Review,2023/05/18 08:45:09+00,Pre Construction Review,1239.96508496809,81624.7931055943,166911,H19-014,"Construction of a showroom addition, additional office, and exterior modifications",,,Jaguar Land Rover Stevens Creek,1809918,79,Rina Shah (Rina.Shah@sanjoseca.gov),
637,138,138,2021/11/16 09:45:53+00,OED,Alum Rock Family Housing,29,Housing,2348 Alum Rock Ave,Under Construction,2023/05/18 08:45:09+00,,570.155393386994,20603.0760053735,1000006699,CP18-044,"Construction of an 87-unit residential building with 3,000 sf of commercial space",,,Alum Rock Family Housing LP,1794458,95,Ruth Cueto (Ruth.Cueto@sanjoseca.gov),
638,139,139,2021/11/16 09:45:53+00,OED,The Station on North First,49,Office,"2890 N. First St. between Zanker, N First St and East Plumeria Dr",Planning Approved,2023/05/18 08:45:09+00,,3897.30217858214,745044.766305235,852,H14-029 ,"Demo of 8 existing industrial buildings totalling 364,854 sf and construction of up to 1,653,761 sf industrial office and commercial support on a 24.3 gross acres",,,Boston Properties,1589622,63,,
639,140,140,2021/11/16 09:45:53+00,OED,Carlysle,43,Mixed Use,51 Notre Dame Ave,Pre-Construction Review,2023/05/18 08:45:09+00,PW Review,701.445218662218,28714.0507241484,"44648, 44649, 44642, 44643",H18-025,"Construction of a 21-story mixed use building with 220 residential units, 4,000 sf of commercial space, and 70,000 sf of office space",,,Acuity Realty,1767635,78,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),249
640,141,141,2021/11/16 09:45:53+00,OED,Bascom Gateway Station,38,Mixed Use,1410 S Bascom,Under Construction,2023/05/18 08:45:09+00,PW & Building Review,2798.24963417309,300860.483429558,"163515, 163516, 163519",PDC17-047,"Planned Development  to allow 447 residential units and up to 300,000 sf retail",,,Bascom Station Owner LLC,1769622,88,Jennifer Piozet (Jennifer.Piozet@sanjoseca.gov),
641,142,142,2021/11/16 09:45:53+00,OED,961 Meridian,30,Housing,961 Meridian Ave,Pre-Construction Review,2023/05/18 08:45:09+00,PW Review,1205.23222480727,90869.0511994269,"164581, 164582, 164583",SP19-064,Construction of 230 residential units,,,ROEM Corporation,1801747,77,Ruth Cueto (Ruth.Cueto@sanjoseca.gov),
643,144,144,2021/11/16 09:45:53+00,OED,237 Industrial Center - Cilker,21,Additional,"1657 Alviso-Milpitas Road, NW Hwy 237 and McCarthy",Planning Approved,2023/05/18 08:45:09+00,,10135.821779958,3182840.7096698,6559,SP16-053 & SP19-066,"Rezoning and permit to demo existing buildings and construct 4 buildings with either Option 1: 1,197,700 SF light industrial; Option 2: 2.35M SF data center up to four stories",,,Cilker Orchards Management Group/ Microsoft,1693125,18,Alec Atienza (Alec.Atienza@sanjoseca.gov),
644,145,145,2021/11/16 09:45:53+00,OED,Flea Market South,41,Mixed Use,1590 Berryessa,Planning Review,2023/05/18 08:45:09+00,,7572.1214486591,2758226.05226346,"7445, 7446, 7449, 7450, 1000023480, 1000007521, 7461, 1000007522",PDC17-051,"Master Planned Development permit to allow the demolition of the existing Flea  Market and surface parking lot and to establish a general site layout, private street layout, grading and drainage patterns, and the construction of up to 3,450 residential units, up to 3.4M sf of commercial",,,Berryessa FM Development LLC,1741298,27,Charla Gomez (Charla.Gomez@sanjoseca.gov),
645,146,146,2021/11/16 09:45:53+00,OED,Tribute Hotel,11,Hotel,211 South 1st Street,Planning Approved,2023/05/18 08:45:09+00,Approved,634.439613106354,25079.6030645396,1003684,HP17-003 & H16-042,"Construction of a 24-story, 279 room hotel integrated into a historic buiding (Montgomery Hotel)",,,Khanna Enterprises,1690619,60,John Tu (John.Tu@sanjoseca.gov),260
646,147,147,2021/11/16 09:45:53+00,OED,Bay 101 ,64,Mixed Use,SE corner N. 1st St and Matrix Blvd.,Planning Approved,2023/05/31 22:41:52+00,,4125.33511349918,559127.736150275,"1000021285, 1000021282, 1000021286, 1000021284, 1000021281, 1000021280, 1000021279, 1000021278",PD13-049,"Demolition of an existing building and construction of relocated 68,652 sf cardroom with 24 hour use/drinking est/banquet facility, construction of a nine-story 234,192 sf office building, and construction of 151,870 sf hotel with 174 rooms w/ banquet facility",,,Bumb & Associates,1649742,908,,
647,148,148,2021/11/16 09:45:53+00,OED,Ohlone Block A,69,Housing,SW corner of West San Carlos St and Sunol St,Planning Approved,2023/05/18 08:45:09+00,,2340.3782451645,289757.408479189,"1000022500, 1000022501, 1000022502",PDA12-013-02,"Planned Development Permit Amendment to decrease the height of a previously approved mixed-use residential tower from 14 stories to 12 stories, increase the podium apartment from four stories to six stories, and allow a alternative parking arrangement (puzzle lift) on an approximately 2.66-gross acre site",,,Republic Urban Properties,1520731,42,Alec Atienza (alec.atienza@sanjoseca.gov),
648,149,149,2021/11/16 09:45:53+00,OED,Innovation Place,57,Office,"3130, 3120, 3110, and 3100 Zanker",Planning Approved,2023/05/18 08:45:09+00,,2701.17383206919,301004.54935191,1001429,H15-037 ,"Construction of two office buildings totaling 536,949 sf and a parking garage",,,Broadcom,1635151,64,,
649,150,150,2021/11/16 09:45:53+00,OED,Post and San Pedro Tower,24,Housing,171 Post Street,Planning Approved,2023/05/18 08:45:09+00,,688.567056267545,20103.0789207781,44779,"H14-023, HA14-023-02","Construction of a 21-story residential tower with 228 residential units and 10,863 sf of ground floor retail ",,,Simeon Properties,44779,69,Tracy Tam (Tracy.Tam@sanjoseca.gov),230
650,151,151,2021/11/16 09:45:53+00,OED,Coleman Highline- Hotel,2,Hotel,1125 Coleman,Under Construction,2023/05/18 08:45:09+00,Building & PW Review,1114.72504096011,75054.694603939,1000020841,PDA12-019-04,Construction of a new five-story hotel with 175 guest rooms,,,Hunter Storm,1792998,901,Angela Wang (Angela.Wang@sanjoseca.gov),
651,152,152,2021/11/16 09:45:53+00,OED,715 West Julian St,66,Mixed Use,715 West Julian St,Under Construction,2023/05/18 08:45:09+00,,1100.46809697804,53144.2895052293,1000006904,PDC17-058 & PD17-029,"Planned Development Zoning and PD Permit to remove existing buildings and construct a 7-story building with 249 residential units and 26,572 sf commercial space on a 1.22 acre site",,,The Hanover Company,1745735,909,,
653,154,154,2021/11/16 09:45:53+00,OED,Aviato,10,Housing,199 Bassett,Planning Approved,2023/05/18 08:45:09+00,,841.879372439978,33928.6885763997,44346,"SP17-023, SPA17-023","Construction of an 18-story towers with 803 co-living units and 3,800 sf ground floor retail",,,KT Urban / Starcity,1791726,62,Angela Wang (Angela.Wang@sanjoseca.gov),196
654,155,155,2021/11/16 09:45:53+00,OED,Montgomery 7,27,Housing,282 S. Montgomery St. ,Pre-Construction Review,2023/05/18 08:45:09+00,,626.002798410316,20599.3346356965,44986,PDC15-038," Construction of a 10-story building  with 54 residential units and 1,856 sf ground floor retail",,,Montgomery 7 LLC,1637468,903,John Tu (John.Tu@sanjoseca.gov),
655,156,156,2021/11/16 09:45:53+00,OED,Cambria Hotel at Valley Fair Santana Row Area,51,Hotel,2850 Stevens Creek Blvd. at South Clover Ave.,Pre-Construction Review,2023/05/18 08:45:09+00,,605.493965670343,22689.5337250657,"160088, 160087",H16-010,"Construction of a 10-story, 173,043 sf hotel with 175 rooms and a public eating establishment",,,Villa Developers and Investment,1659363,906,,
656,157,157,2021/11/16 09:45:53+00,OED,Miro (SJSC Towers),1,Housing,"39 North 5th St, San Jose, CA, 95112",Under Construction,2023/05/18 08:45:09+00,,1003.878381347,62346.0765239636,61535,SPA17-009-01,"Two towers (each 28 stories) will accommodate 630 residential units, over 15,000 square feet of retail space, and 10,000 square feet of strategically-located office space. The residences, with their extensive amenities, will set a new bar for high-rise living in San Jose",,,Bayview Development Group,1705694,900,Tracy Tam (Tracy.Tam@sanjoseca.gov),298
657,158,158,2021/11/16 09:45:53+00,OED,4th Street Metro Station,9,Housing,439 South 4th Street near E. San Salvador St.,Planning Review,2023/05/18 08:45:09+00,,636.116038664986,22329.3519424614,"63437, 63439",H17-004,"Construct an 18-story building with 218 residential units with 1,345 sf ground floor retail and 12,381 sf rooftop eating establishment",,,Nelly Amas,1701387,20,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),274
658,159,159,2021/11/16 09:45:53+00,OED,Greyhound,52,Housing,70 S. Almaden Ave.,Planning Approved,2023/05/18 08:45:09+00,,1099.82781294791,75218.4682932084,"44774, 44780, 44781, 44782, 44783",SP16-021,"Construction of a two-tower (23- and 24-stories) building with 708 residential condo units and 13,974 sf ground floor retail",,,Z&L Properties,1662835,67,,242
659,160,160,2021/11/16 09:45:53+00,OED,McEvoy Residences,42,Housing,0 McEvoy,Pre-Construction Review,2023/05/18 08:45:09+00,,697.609157118095,27773.6287580488,"47187, 47186",SP18-059,"PD Zoning from HI to A(PD) for residential uses and PD Permit for 12-story, 358 unit affordable housing. ",,,First Community Housing,1764241,905,Ruth Cueto (Ruth.Cueto@sanjoseca.gov),
661,162,162,2021/11/16 09:45:53+00,OED,Steven's Creek Promenade,55,Mixed Use,4300-4360 Steven's Creek Boulevard,Planning Approved,2023/05/31 23:18:09+00,,3737.09462519775,404975.636283512,"7385771, 1007522, 167187","PDC20-021; PD20-012;","Planned Development rezoning and development permit to allow the demolition of three existing commercial buildings (77,000sf) and the construction of three residential buildings with 580 units, including 173 affordable units, and a 250-room hotel with 8,500 sf of ground floor retail space",Laura Meiners,Laura. Meiners@sanjoseca.gov,Fortbay,1814412,29,Other,
663,164,164,2021/11/16 09:45:53+00,OED,Communications Hill,32,Housing,0 Curtner,Planning Review,2023/05/18 08:45:09+00,,21765.5703141646,13284634.4931492,,PDA14-035-06,Planned Development Permit Amendment to allow for the development of Phases 3 and 4 of the Communications Hill project to construct 815 residences,,,KB Home,1807831,19,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),
664,165,165,2021/11/16 09:45:53+00,OED,Evergreen Arcadia,68,Mixed Use,2140 Quimby Rd,Under Construction,2023/05/18 08:45:09+00,,9184.09232269207,3590423.14189325,,PDC10-022 & PD15-013,"Construct up to 310,000 sf retail and 250 residential units and 17.2 acres parkland on 80.89 acres.  ",,,Arcadia Development,1617709,101,,
666,167,167,2021/11/16 09:45:53+00,OED,Sharks Ice,72,Additional,1500 S. 10th Street,Under Construction,2023/05/18 08:45:09+00,Approved,2295.25069136123,305905.403747503,67864,CP19-024,"Allow addition of two ice rinks (rinks 5 and 6), associated amenities, and medical offices totaling 204,193 sf to an existing ice rink facility.",Michelle Kimball,michelle.kimball@sanjoseca.gov,Sharks Ice,1828456,910,Other,30
667,168,168,2021/11/16 09:45:53+00,OED,425 Auzerais Apartments,73,Housing,425 Auzerais,Under Construction,2023/05/18 08:45:09+00,Building/PW Review,1161.61208430131,46237.6338984317,"57328,57335,57330",H19-051,Construct a five-story affordable housing building with 130 residential units.,Ruth Cueto,Ruth.Cueto@sanjoseca.gov,Eden Housing,1845168,91,Other,
668,169,169,2021/11/16 09:45:53+00,OED,El Paseo & 1777 Saratoga Ave Mixed Use Village,74,Mixed Use,1312 El Paseo De Saratoga,Planning Approved,2023/05/18 08:45:09+00,,3742.74795225143,473256.785933365,183903,PDC19-049 & PD20-006,"Planned Development Rezoning to allow up to 800 residential units, 50,000 sf of retail, and up to 450,000 sf office or 450,000 educational facility.",Michelle Flores,michelle.flores@sanjoseca.gov,Eric Shoennauer,1849728,40,Other,
669,170,170,2021/11/16 09:45:53+00,OED,Japantown Mixed Use 7th St,83,Mixed Use,653 North 7th St,Planning Review,2023/05/31 21:07:22+00,,1284.79657178696,69767.8513456088,1000020010,PD20-004,"Construction of 5,540 sf of gallery space, 8,913 sq for music practice/performance space, and 65 residential units",Laura Meiners,Laura.Meiners@sanjoseca.gov,Shea Properties,1867985,17,Other,
670,171,171,2021/11/16 09:45:53+00,OED,San Jose Stage/ Home 2 Hotel,77,Hotel,490 S 1st St,Planning Review,2023/05/18 08:45:09+00,,570.832687527486,20122.9403536618,63402,CP20-008,"Construction of a 22,102 sf theatre and a 144 room hotel",Laura Meiners,Laura.Meiners@sanjoseca.gov,Barry Swenson Building,1860297,16,Other,192
673,174,174,2021/11/16 09:45:53+00,OED,Villa Del Sol Mixed Use Residential,82,Affordable Housing,1936 Alum Rock Ave,Planning Approved,2023/05/18 08:45:09+00,,1218.4767580376,65075.0941882008,70887,CP20-015,"Construction of a five story building with 3,000 sf of commercial space and 185 affordable units",Laura Meiners,Laura.meiners@sanjoseca.gov,Pacific West Communities,1865731,53,Other,
674,175,175,2021/11/16 09:45:53+00,OED,KT Urban Office @ Woz,80,Office,276 Woz Way,Planning Approved,2023/05/18 08:45:09+00,,1634.31197805816,133621.033141693,57557,H20-004,"Construction of a 20-story, 1.8 million sf office tower",Angela Wang,Angela.Wang@sanjoseca.gov,KT Urban,1858349,51,Other,296
675,176,176,2021/11/16 09:45:53+00,OED,Blossom Hill Signature,81,Housing,605 Blossom Hill Road,Planning Approved,2023/05/18 08:45:09+00,,2348.92845389571,288193.401660022,1000008020,SP20-012,"Construction of two six-story residential buildings, with 10,750 sf of commercial space, 231 market rate units and 84 affordable units",Laura Meiners,Laura.Meiners@sanjoseca.gov,Green Republic,1864302,41,Other,
677,178,178,2021/11/16 09:45:53+00,OED,Almaden Boulevard Tower,86,Office,S. Almaden & Post Street,Planning Approved,2023/05/18 08:45:09+00,,840.396257137351,43655.2121772666,44758,H20-021,"Construction of a 596,750 sf office building",Laura Meiners,Laura.Meiners@sanjoseca.gov,JP DiNapoli Companies,1872615,58,Other,279
678,179,179,2021/11/16 09:45:53+00,OED,Park Habitat,15,Office,180 Park Avenue ,Pre-Construction Review,2023/05/18 08:45:09+00,,1315.74040380009,104188.909073228,1000026169,SP20-032,"Demolish Parkside Hall and construct 1,241,820 sf office, retail and museum space",,,Westbank,1788183,83,Cassandra Van Der Zweep (Cassandra.VanDerZweep@sanjoseca.gov),299
679,180,180,2021/11/16 09:45:53+00,OED,Samaritan Drive,53,Office,2505 Samaritan Dr.,Planning Approved,2023/05/18 08:45:09+00,,1136.83498511548,59505.3509753577,83755,PDC15-028,"Construction of up to 360,000 sf commercial space for medical office ",,,Samaritan Medical Center,1679067,4,,
680,181,181,2021/11/16 09:45:53+00,OED,605 Affordable,89,Housing,605 South 2nd Street,Planning Approved,2023/05/18 08:45:09+00,,450.344680624724,12488.1478587332,65489,H20-028,"SB 35 Ministerial Permit to allow the construction of a 100% affordable 289,324 square foot  apartment building (29 stories) with a total of up to 345 residential units",Joe Sordi,Joe.Sordi@sanjoseca.gov,Roygbiv Development,1877927,47,Other,285
681,182,182,2021/11/16 09:45:53+00,OED,Monterey Mixed Use,85,Housing,4300 Monterey Road,Planning Approved,2023/05/18 08:45:09+00,,1562.04194688864,99085.5404615042,"256640, 256641",H20-024,"SB 35 Ministerial permit to allow the construction of 3,035 sf of commercial space and 438 residential units",Ruth Cueto,Ruth.Cueto@sanjoseca.gov,"AMG & Associates, LLC",1874825,46,Other,
682,183,183,2021/11/16 09:45:53+00,OED,The Mark,87,Housing,459 South 4th Street,Planning Approved,2023/05/18 08:45:09+00,,556.440734436998,19415.779782832,"63438, 63440",SP20-021,Construction of a 222-unit residential building,Laura Meiners,Laura.Meiners@sanjoseca.gov,Urban Catalyst,1871334,52,Other,274
683,184,184,2021/11/16 09:45:53+00,OED,550 East Brokaw,90,Office,550 East Brokaw Road,Planning Review,2023/05/18 08:45:09+00,,4293.81538136194,859962.803241725,1000009022,H21-005,Construction of 7 8- story buildings total approximately 2 million square feet of office,Alec Atienza,alec.atienza@sanjoseca.gov,Caracol Property Owner LLC,1884547,26,Other,
684,185,185,2021/11/16 09:45:53+00,OED,Platform 16,20,Office,440 W. Julian St,Under Construction,2023/05/18 08:45:09+00,,2582.88381845745,262796.924791384,"1000008761, 44477, 1000009004, 1000008765","SP18-020,  SPA18-020",Construction of  1 million sf office,,,TMG/Boston Properties,1760049,100,Patrick Kelly (Patrick.Kelly@sanjoseca.gov),171
685,186,186,2021/11/16 09:45:53+00,OED,Samaritan Court,54,Office,South side terminus of Samaritan Ct.,Under Construction,2023/05/18 08:45:09+00,,1380.21690069168,96235.6105254114,"83762, 83763",PDC15-029 & PD14-013,"Construction of a 69,250 sf medical office building",,,Samaritan Medical Center,1568308,98,,
686,187,187,2021/11/16 09:45:53+00,OED,Evergreen Arcadia Expansion,88,Commercial,2376 South Evergreen Loop,Planning Approved,2023/05/18 08:45:09+00,,2919.65977689641,454916.135427004,1000024071,PDC20-002 & PD21-008,"Rezoning to allow an increase of allowable commercial space from 344,000 to 404,000 sf",Angela Wang,Angela.Wang@sanjoseca.gov,Arcadia Development,,48,Other,
